date,uyear,umonth,uday,week,weekday,date_type,is_workday
2023-07-18,2023,7,18,29,2,工作日,1
2023-07-19,2023,7,19,29,3,工作日,1
2023-07-20,2023,7,20,29,4,工作日,1
2023-07-21,2023,7,21,29,5,工作日,1
2023-07-22,2023,7,22,29,6,周末,0
2023-07-23,2023,7,23,29,7,周末,0
2023-07-24,2023,7,24,30,1,工作日,1
2023-07-25,2023,7,25,30,2,工作日,1
2023-07-26,2023,7,26,30,3,工作日,1
2023-07-27,2023,7,27,30,4,工作日,1
2023-07-28,2023,7,28,30,5,工作日,1
2023-07-29,2023,7,29,30,6,周末,0
2023-07-30,2023,7,30,30,7,周末,0
2023-07-31,2023,7,31,31,1,工作日,1
2023-08-01,2023,8,1,31,2,工作日,1
2023-08-02,2023,8,2,31,3,工作日,1
2023-08-03,2023,8,3,31,4,工作日,1
2023-08-04,2023,8,4,31,5,工作日,1
2023-08-05,2023,8,5,31,6,周末,0
2023-08-06,2023,8,6,31,7,周末,0
2023-08-07,2023,8,7,32,1,工作日,1
2023-08-08,2023,8,8,32,2,工作日,1
2023-08-09,2023,8,9,32,3,工作日,1
2023-08-10,2023,8,10,32,4,工作日,1
2023-08-11,2023,8,11,32,5,工作日,1
2023-08-12,2023,8,12,32,6,周末,0
2023-08-13,2023,8,13,32,7,周末,0
2023-08-14,2023,8,14,33,1,工作日,1
2023-08-15,2023,8,15,33,2,工作日,1
2023-08-16,2023,8,16,33,3,工作日,1
2023-08-17,2023,8,17,33,4,工作日,1
2023-08-18,2023,8,18,33,5,工作日,1
2023-08-19,2023,8,19,33,6,周末,0
2023-08-20,2023,8,20,33,7,周末,0
2023-08-21,2023,8,21,34,1,工作日,1
2023-08-22,2023,8,22,34,2,工作日,1
2023-08-23,2023,8,23,34,3,工作日,1
2023-08-24,2023,8,24,34,4,工作日,1
2023-08-25,2023,8,25,34,5,工作日,1
2023-08-26,2023,8,26,34,6,周末,0
2023-08-27,2023,8,27,34,7,周末,0
2023-08-28,2023,8,28,35,1,工作日,1
2023-08-29,2023,8,29,35,2,工作日,1
2023-08-30,2023,8,30,35,3,工作日,1
2023-08-31,2023,8,31,35,4,工作日,1
2023-09-01,2023,9,1,35,5,工作日,1
2023-09-02,2023,9,2,35,6,周末,0
2023-09-03,2023,9,3,35,7,周末,0
2023-09-04,2023,9,4,36,1,工作日,1
2023-09-05,2023,9,5,36,2,工作日,1
2023-09-06,2023,9,6,36,3,工作日,1
2023-09-07,2023,9,7,36,4,工作日,1
2023-09-08,2023,9,8,36,5,工作日,1
2023-09-09,2023,9,9,36,6,周末,0
2023-09-10,2023,9,10,36,7,周末,0
2023-09-11,2023,9,11,37,1,工作日,1
2023-09-12,2023,9,12,37,2,工作日,1
2023-09-13,2023,9,13,37,3,工作日,1
2023-09-14,2023,9,14,37,4,工作日,1
2023-09-15,2023,9,15,37,5,工作日,1
2023-09-16,2023,9,16,37,6,周末,0
2023-09-17,2023,9,17,37,7,周末,0
2023-09-18,2023,9,18,38,1,工作日,1
2023-09-19,2023,9,19,38,2,工作日,1
2023-09-20,2023,9,20,38,3,工作日,1
2023-09-21,2023,9,21,38,4,工作日,1
2023-09-22,2023,9,22,38,5,工作日,1
2023-09-23,2023,9,23,38,6,周末,0
2023-09-24,2023,9,24,38,7,周末,0
2023-09-25,2023,9,25,39,1,工作日,1
2023-09-26,2023,9,26,39,2,工作日,1
2023-09-27,2023,9,27,39,3,工作日,1
2023-09-28,2023,9,28,39,4,工作日,1
2023-09-29,2023,9,29,39,5,中秋节,0
2023-09-30,2023,9,30,39,6,国庆节,0
2023-10-01,2023,10,1,39,7,国庆节,0
2023-10-02,2023,10,2,40,1,国庆节,0
2023-10-03,2023,10,3,40,2,国庆节,0
2023-10-04,2023,10,4,40,3,国庆节,0
2023-10-05,2023,10,5,40,4,国庆节,0
2023-10-06,2023,10,6,40,5,国庆节,0
2023-10-07,2023,10,7,40,6,法定上班,1
2023-10-08,2023,10,8,40,7,法定上班,1
2023-10-09,2023,10,9,41,1,工作日,1
2023-10-10,2023,10,10,41,2,工作日,1
2023-10-11,2023,10,11,41,3,工作日,1
2023-10-12,2023,10,12,41,4,工作日,1
2023-10-13,2023,10,13,41,5,工作日,1
2023-10-14,2023,10,14,41,6,周末,0
2023-10-15,2023,10,15,41,7,周末,0
2023-10-16,2023,10,16,42,1,工作日,1
2023-10-17,2023,10,17,42,2,工作日,1
2023-10-18,2023,10,18,42,3,工作日,1
2023-10-19,2023,10,19,42,4,工作日,1
2023-10-20,2023,10,20,42,5,工作日,1
2023-10-21,2023,10,21,42,6,周末,0
2023-10-22,2023,10,22,42,7,周末,0
2023-10-23,2023,10,23,43,1,工作日,1
2023-10-24,2023,10,24,43,2,工作日,1
2023-10-25,2023,10,25,43,3,工作日,1
2023-10-26,2023,10,26,43,4,工作日,1
2023-10-27,2023,10,27,43,5,工作日,1
2023-10-28,2023,10,28,43,6,周末,0
2023-10-29,2023,10,29,43,7,周末,0
2023-10-30,2023,10,30,44,1,工作日,1
2023-10-31,2023,10,31,44,2,工作日,1
2023-11-01,2023,11,1,44,3,工作日,1
2023-11-02,2023,11,2,44,4,工作日,1
2023-11-03,2023,11,3,44,5,工作日,1
2023-11-04,2023,11,4,44,6,周末,0
2023-11-05,2023,11,5,44,7,周末,0
2023-11-06,2023,11,6,45,1,工作日,1
2023-11-07,2023,11,7,45,2,工作日,1
2023-11-08,2023,11,8,45,3,工作日,1
2023-11-09,2023,11,9,45,4,工作日,1
2023-11-10,2023,11,10,45,5,工作日,1
2023-11-11,2023,11,11,45,6,周末,0
2023-11-12,2023,11,12,45,7,周末,0
2023-11-13,2023,11,13,46,1,工作日,1
2023-11-14,2023,11,14,46,2,工作日,1
2023-11-15,2023,11,15,46,3,工作日,1
2023-11-16,2023,11,16,46,4,工作日,1
2023-11-17,2023,11,17,46,5,工作日,1
2023-11-18,2023,11,18,46,6,周末,0
2023-11-19,2023,11,19,46,7,周末,0
2023-11-20,2023,11,20,47,1,工作日,1
2023-11-21,2023,11,21,47,2,工作日,1
2023-11-22,2023,11,22,47,3,工作日,1
2023-11-23,2023,11,23,47,4,工作日,1
2023-11-24,2023,11,24,47,5,工作日,1
2023-11-25,2023,11,25,47,6,周末,0
2023-11-26,2023,11,26,47,7,周末,0
2023-11-27,2023,11,27,48,1,工作日,1
2023-11-28,2023,11,28,48,2,工作日,1
2023-11-29,2023,11,29,48,3,工作日,1
2023-11-30,2023,11,30,48,4,工作日,1
2023-12-01,2023,12,1,48,5,工作日,1
2023-12-02,2023,12,2,48,6,周末,0
2023-12-03,2023,12,3,48,7,周末,0
2023-12-04,2023,12,4,49,1,工作日,1
2023-12-05,2023,12,5,49,2,工作日,1
2023-12-06,2023,12,6,49,3,工作日,1
2023-12-07,2023,12,7,49,4,工作日,1
2023-12-08,2023,12,8,49,5,工作日,1
2023-12-09,2023,12,9,49,6,周末,0
2023-12-10,2023,12,10,49,7,周末,0
2023-12-11,2023,12,11,50,1,工作日,1
2023-12-12,2023,12,12,50,2,工作日,1
2023-12-13,2023,12,13,50,3,工作日,1
2023-12-14,2023,12,14,50,4,工作日,1
2023-12-15,2023,12,15,50,5,工作日,1
2023-12-16,2023,12,16,50,6,周末,0
2023-12-17,2023,12,17,50,7,周末,0
2023-12-18,2023,12,18,51,1,工作日,1
2023-12-19,2023,12,19,51,2,工作日,1
2023-12-20,2023,12,20,51,3,工作日,1
2023-12-21,2023,12,21,51,4,工作日,1
2023-12-22,2023,12,22,51,5,工作日,1
2023-12-23,2023,12,23,51,6,周末,0
2023-12-24,2023,12,24,51,7,周末,0
2023-12-25,2023,12,25,52,1,工作日,1
2023-12-26,2023,12,26,52,2,工作日,1
2023-12-27,2023,12,27,52,3,工作日,1
2023-12-28,2023,12,28,52,4,工作日,1
2023-12-29,2023,12,29,52,5,工作日,1
2023-12-30,2023,12,30,52,6,周末,0
2023-12-31,2023,12,31,52,7,周末,0
2024-01-01,2024,1,1,01,1,元旦节,0
2024-01-02,2024,1,2,01,2,工作日,1
2024-01-03,2024,1,3,01,3,工作日,1
2024-01-04,2024,1,4,01,4,工作日,1
2024-01-05,2024,1,5,01,5,工作日,1
2024-01-06,2024,1,6,01,6,周末,0
2024-01-07,2024,1,7,01,7,周末,0
2024-01-08,2024,1,8,02,1,工作日,1
2024-01-09,2024,1,9,02,2,工作日,1
2024-01-10,2024,1,10,02,3,工作日,1
2024-01-11,2024,1,11,02,4,工作日,1
2024-01-12,2024,1,12,02,5,工作日,1
2024-01-13,2024,1,13,02,6,周末,0
2024-01-14,2024,1,14,02,7,周末,0
2024-01-15,2024,1,15,03,1,工作日,1
2024-01-16,2024,1,16,03,2,工作日,1
2024-01-17,2024,1,17,03,3,工作日,1
2024-01-18,2024,1,18,03,4,工作日,1
2024-01-19,2024,1,19,03,5,工作日,1
2024-01-20,2024,1,20,03,6,周末,0
2024-01-21,2024,1,21,03,7,周末,0
2024-01-22,2024,1,22,04,1,工作日,1
2024-01-23,2024,1,23,04,2,工作日,1
2024-01-24,2024,1,24,04,3,工作日,1
2024-01-25,2024,1,25,04,4,工作日,1
2024-01-26,2024,1,26,04,5,工作日,1
2024-01-27,2024,1,27,04,6,周末,0
2024-01-28,2024,1,28,04,7,周末,0
2024-01-29,2024,1,29,05,1,工作日,1
2024-01-30,2024,1,30,05,2,工作日,1
2024-01-31,2024,1,31,05,3,工作日,1
2024-02-01,2024,2,1,05,4,工作日,1
2024-02-02,2024,2,2,05,5,工作日,1
2024-02-03,2024,2,3,05,6,周末,0
2024-02-04,2024,2,4,05,7,法定上班,1
2024-02-05,2024,2,5,06,1,工作日,1
2024-02-06,2024,2,6,06,2,工作日,1
2024-02-07,2024,2,7,06,3,工作日,1
2024-02-08,2024,2,8,06,4,工作日,1
2024-02-09,2024,2,9,06,5,工作日,1
2024-02-10,2024,2,10,06,6,春节,0
2024-02-11,2024,2,11,06,7,春节,0
2024-02-12,2024,2,12,07,1,春节,0
2024-02-13,2024,2,13,07,2,春节,0
2024-02-14,2024,2,14,07,3,春节,0
2024-02-15,2024,2,15,07,4,春节,0
2024-02-16,2024,2,16,07,5,春节,0
2024-02-17,2024,2,17,07,6,春节,0
2024-02-18,2024,2,18,07,7,法定上班,1
2024-02-19,2024,2,19,08,1,工作日,1
2024-02-20,2024,2,20,08,2,工作日,1
2024-02-21,2024,2,21,08,3,工作日,1
2024-02-22,2024,2,22,08,4,工作日,1
2024-02-23,2024,2,23,08,5,工作日,1
2024-02-24,2024,2,24,08,6,周末,0
2024-02-25,2024,2,25,08,7,周末,0
2024-02-26,2024,2,26,09,1,工作日,1
2024-02-27,2024,2,27,09,2,工作日,1
2024-02-28,2024,2,28,09,3,工作日,1
2024-02-29,2024,2,29,09,4,工作日,1
2024-03-01,2024,3,1,09,5,工作日,1
2024-03-02,2024,3,2,09,6,周末,0
2024-03-03,2024,3,3,09,7,周末,0
2024-03-04,2024,3,4,10,1,工作日,1
2024-03-05,2024,3,5,10,2,工作日,1
2024-03-06,2024,3,6,10,3,工作日,1
2024-03-07,2024,3,7,10,4,工作日,1
2024-03-08,2024,3,8,10,5,工作日,1
2024-03-09,2024,3,9,10,6,周末,0
2024-03-10,2024,3,10,10,7,周末,0
2024-03-11,2024,3,11,11,1,工作日,1
2024-03-12,2024,3,12,11,2,工作日,1
2024-03-13,2024,3,13,11,3,工作日,1
2024-03-14,2024,3,14,11,4,工作日,1
2024-03-15,2024,3,15,11,5,工作日,1
2024-03-16,2024,3,16,11,6,周末,0
2024-03-17,2024,3,17,11,7,周末,0
2024-03-18,2024,3,18,12,1,工作日,1
2024-03-19,2024,3,19,12,2,工作日,1
2024-03-20,2024,3,20,12,3,工作日,1
2024-03-21,2024,3,21,12,4,工作日,1
2024-03-22,2024,3,22,12,5,工作日,1
2024-03-23,2024,3,23,12,6,周末,0
2024-03-24,2024,3,24,12,7,周末,0
2024-03-25,2024,3,25,13,1,工作日,1
2024-03-26,2024,3,26,13,2,工作日,1
2024-03-27,2024,3,27,13,3,工作日,1
2024-03-28,2024,3,28,13,4,工作日,1
2024-03-29,2024,3,29,13,5,工作日,1
2024-03-30,2024,3,30,13,6,周末,0
2024-03-31,2024,3,31,13,7,周末,0
2024-04-01,2024,4,1,14,1,工作日,1
2024-04-02,2024,4,2,14,2,工作日,1
2024-04-03,2024,4,3,14,3,工作日,1
2024-04-04,2024,4,4,14,4,清明节,0
2024-04-05,2024,4,5,14,5,清明节,0
2024-04-06,2024,4,6,14,6,清明节,0
2024-04-07,2024,4,7,14,7,法定上班,1
2024-04-08,2024,4,8,15,1,工作日,1
2024-04-09,2024,4,9,15,2,工作日,1
2024-04-10,2024,4,10,15,3,工作日,1
2024-04-11,2024,4,11,15,4,工作日,1
2024-04-12,2024,4,12,15,5,工作日,1
2024-04-13,2024,4,13,15,6,周末,0
2024-04-14,2024,4,14,15,7,周末,0
2024-04-15,2024,4,15,16,1,工作日,1
2024-04-16,2024,4,16,16,2,工作日,1
2024-04-17,2024,4,17,16,3,工作日,1
2024-04-18,2024,4,18,16,4,工作日,1
2024-04-19,2024,4,19,16,5,工作日,1
2024-04-20,2024,4,20,16,6,周末,0
2024-04-21,2024,4,21,16,7,周末,0
2024-04-22,2024,4,22,17,1,工作日,1
2024-04-23,2024,4,23,17,2,工作日,1
2024-04-24,2024,4,24,17,3,工作日,1
2024-04-25,2024,4,25,17,4,工作日,1
